com/google/common/reflect/ClassPath	getClassName	(Ljava/lang/String;)Ljava/lang/String;	0,
org/jsoup/helper/HttpConnection$KeyVal	inputStream	(Ljava/io/InputStream;)Lorg/jsoup/Connection$KeyVal;	0,
com/google/common/io/CharStreams$NullWriter	append	(Ljava/lang/CharSequence;)Ljava/lang/Appendable;	0,
jdk/nashorn/internal/runtime/linker/Bootstrap$1	filter	(Ljdk/internal/dynalink/linker/GuardedInvocation;Ljdk/internal/dynalink/linker/LinkRequest;Ljdk/internal/dynalink/linker/LinkerServices;)Ljdk/internal/dynalink/linker/GuardedInvocation;	1,
com/google/common/collect/AbstractBiMap$Inverse	values	()Ljava/util/Collection;	0,
com/google/common/collect/CompactHashMap	entrySet	()Ljava/util/Set;	0,
javax/swing/text/LabelView	getBackground	()Ljava/awt/Color;	0,
com/sun/xml/internal/fastinfoset/stax/events/StartDocumentEvent	getVersion	()Ljava/lang/String;	0,
jdk/nashorn/internal/objects/NativeArguments	getCallee	()Ljava/lang/Object;	0,
com/google/common/primitives/ImmutableLongArray$AsList	get	(I)Ljava/lang/Object;	0,
java/util/stream/Stream$1	next	()Ljava/lang/Object;	0,
com/sun/beans/TypeResolver	resolve	(Ljava/lang/reflect/Type;Ljava/lang/reflect/Type;)Ljava/lang/reflect/Type;	1,
sun/management/counter/perf/PerfDataType	toString	()Ljava/lang/String;	0,
jdk/nashorn/internal/ir/Block	getStatements	()Ljava/util/List;	0,
com/sun/tools/javac/code/SymbolMetadata	appendClassInitTypeAttributes	(Lcom/sun/tools/javac/util/List;)Lcom/sun/tools/javac/code/SymbolMetadata;	0,
sun/rmi/transport/tcp/TCPEndpoint	getHost	()Ljava/lang/String;	0,
com/google/common/collect/ForwardingNavigableMap	delegate	()Ljava/util/Map;	0,
org/jsoup/helper/HttpConnection$Request	data	(Lorg/jsoup/Connection$KeyVal;)Lorg/jsoup/helper/HttpConnection$Request;	0,
javafx/scene/chart/PieChartBuilder	labelLineLength	(D)Ljavafx/scene/chart/PieChartBuilder;	0,
javax/management/monitor/CounterMonitor$CounterMonitorObservedObject	getDerivedGaugeExceeded	()Ljava/lang/Number;	0,
java/lang/EnumConstantNotPresentException	enumType	()Ljava/lang/Class;	0,
com/sun/tools/internal/xjc/model/CCustomizations	fixNull	(Ljava/lang/String;)Ljava/lang/String;	1,
jdk/nashorn/internal/runtime/arrays/DeletedRangeArrayFilter	set	(IIZ)Ljdk/nashorn/internal/runtime/arrays/ArrayData;	0,
